ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,CO2 EMISSIONS
2.4,4,9.4,192
3.5,6,12.6,259
3.5,6,12.2,251
3,6,9.1,210
3.5,6,11.1,261
3.5,6,12.4,250
3.5,6,8.2,190
2.4,4,9.6,197
3.5,6,11.2,226
1.8,4,9.7,197
1.8,4,9.7,197
2,4,10,205
2,4,10.5,217
2.9,6,13.8,280
5.2,12,15.5,322
6,12,16.7,331
6,12,17.5,345
6,12,19.4,388
6,12,23.2,450
2,4,9.1,188
2,4,9.7,205
2,4,10.8,223
2,4,8.6,177
2,4,9.8,205
2,4,9.9,204
2,4,10.2,217
2,4,11,226
2,4,10.4,210
2,4,11.3,231
2,4,10.9,220
3,6,11.5,238
3,6,11.5,238
3,6,12.6,246
4,8,12.9,249
4,8,13.1,255
2,4,11.9,243
2,4,11.9,241
2,4,12,246
3,6,13.2,267
2,4,11.9,253
3,6,12.6,260
5.2,10,16.5,330
5.2,10,16.5,330
4,8,16.2,309
2,4,11,232
3,6,13,259
3,6,13.8,273
3,6,13.3,266
4,8,13.3,263
4,8,13.4,265
4,8,16.2,312
3,6,14.1,285
2,4,10.1,209
2,4,10.1,209
2,4,10.3,222
6,12,18.8,370
4,8,15.5,295
6,12,18.9,360
4,8,17,321
6,12,19.6,375
4,8,17,321
6,12,19.6,375
6.8,8,21.3,407
6.8,8,22.2,430
2,4,10,207
2,4,9.8,197
2,4,11.1,219
2,4,10.5,213
2,4,10.2,210
2,4,10,200
2,4,10.2,202
2,4,10.3,206
2,4,7.9,189
2,4,7.9,189
2,4,10.5,213
2,4,10.5,213
2,4,10.5,213
3,6,11.1,224
3,6,12.2,242
3,6,11.4,228
3,6,12.2,246
3,6,11.9,238
2,4,10.6,211
2,4,10.5,213
2,4,10.5,213
3,6,11.1,224
3,6,12.2,242
3,6,11.9,238
3,6,11.4,228
3,6,12.2,246
3,6,11.4,228
2,4,10.5,213
3,6,11.4,228
3,6,12.4,249
3,6,12.4,249
4.4,8,14.7,292
4.4,8,13.8,273
